temp,pressure,ax,ay,az,gx,gy,gz,mx,my,mz,nano,t
-999,-999,-0.07,0.004,0.985,-1.823,0.45,0.504,-12.751,6.193,-9.106,2,899.426176
-999,-999,-0.068,0.005,0.984,-1.694,0.351,0.587,-12.569,5.647,-9.282,3,1799.362584
-999,-999,-0.069,0.005,0.983,-1.808,0.389,0.511,-12.933,7.468,-8.231,4,2699.811839
-999,-999,-0.067,0.007,0.985,-1.823,0.458,0.427,-12.204,4.918,-8.581,5,3600.7758400000002
-999,-999,-0.068,0.007,0.983,-1.785,0.481,0.404,-11.476,6.011,-8.581,6,4502.254375
-999,-999,-0.069,0.004,0.982,-1.648,0.481,0.534,-10.383,7.468,-9.282,7,5404.243047
-999,-999,-0.068,0.005,0.98,-1.785,0.381,0.496,-13.115,5.829,-8.056,8,6306.741776
-999,-999,-0.068,0.007,0.982,-1.747,0.404,0.511,-12.204,5.647,-9.982,9,7209.7552559999995
-999,-999,-0.067,0.007,0.983,-1.709,0.496,0.458,-12.386,7.65,-9.106,10,8113.283436
-999,-999,-0.069,0.008,0.985,-1.854,0.381,0.481,-12.386,5.465,-8.406,11,9017.326421
-999,-999,-0.07,0.006,0.982,-1.724,0.404,0.481,-12.204,5.647,-7.881,12,9921.88657
-999,-999,-0.069,0.006,0.984,-1.77,0.404,0.481,-13.661,6.74,-7.53,13,10826.961343
-999,-999,-0.069,0.007,0.983,-1.793,0.381,0.519,-13.115,5.829,-8.406,14,11732.550645000001
-999,-999,-0.069,0.006,0.983,-1.808,0.397,0.534,-12.204,8.925,-8.231,15,12638.654944000002
-999,-999,-0.069,0.007,0.986,-1.801,0.313,0.504,-12.933,6.375,-9.632,16,13545.273793000002
-999,-999,-0.067,0.005,0.985,-1.816,0.542,0.465,-12.022,7.286,-8.056,17,14452.407492000002
-999,-999,-0.07,0.006,0.985,-1.785,0.351,0.488,-12.569,5.647,-7.881,18,15360.055906000001
-999,-999,-0.069,0.008,0.985,-1.755,0.488,0.534,-11.476,4.918,-8.581,19,16268.219125000001
-999,-999,-0.07,0.007,0.986,-1.762,0.519,0.504,-11.476,6.74,-8.931,20,17176.897121
-999,-999,-0.069,0.005,0.984,-1.717,0.351,0.374,-10.201,6.922,-8.406,21,18086.089876000002
-999,-999,-0.069,0.006,0.983,-1.785,0.443,0.504,-11.476,6.375,-9.282,22,18995.800073000002
-999,-999,-0.069,0.007,0.985,-1.793,0.481,0.465,-12.751,6.557,-8.756,23,19906.025004000003
-999,-999,-0.07,0.006,0.987,-1.74,0.443,0.45,-11.111,6.74,-8.581,24,20816.764522
-999,-999,-0.071,0.004,0.985,-1.755,0.465,0.435,-11.658,4.736,-9.106,25,21728.018653000003
-999,-999,-0.069,0.008,0.982,-1.785,0.427,0.458,-13.297,6.011,-8.581,26,22639.787348
-999,-999,-0.069,0.007,0.986,-1.74,0.374,0.496,-11.84,6.011,-8.581,27,23552.070834000002
-999,-999,-0.068,0.005,0.983,-1.823,0.458,0.427,-13.297,6.011,-8.931,28,24464.86909
-999,-999,-0.069,0.008,0.983,-1.74,0.374,0.565,-11.476,6.74,-7.881,29,25378.182126
-999,-999,-0.067,0.004,0.982,-1.747,0.481,0.488,-11.293,4.736,-8.406,30,26292.00994
-999,-999,-0.068,0.006,0.982,-1.793,0.488,0.496,-12.751,6.557,-8.056,31,27206.352507
-999,-999,-0.068,0.006,0.983,-1.793,0.488,0.557,-11.476,6.74,-9.282,32,28121.215286
-999,-999,-0.07,0.003,0.984,-1.884,0.42,0.45,-12.751,6.557,-8.406,33,29036.592815
-999,-999,-0.07,0.006,0.986,-1.778,0.45,0.473,-11.111,7.104,-7.18,34,29952.485129
-999,-999,-0.067,0.007,0.987,-1.747,0.389,0.565,-11.658,6.922,-8.056,35,30868.891954
-999,-999,-0.069,0.006,0.986,-1.747,0.458,0.481,-12.386,5.829,-8.756,36,31785.813723
-999,-999,-0.069,0.006,0.985,-1.648,0.443,0.526,-12.386,7.286,-9.106,37,32703.250027
-999,-999,-0.069,0.006,0.985,-1.724,0.427,0.504,-13.115,5.829,-8.056,38,33621.201079
-999,-999,-0.067,0.005,0.984,-1.785,0.504,0.496,-12.022,7.286,-9.106,39,34539.66682
-999,-999,-0.068,0.005,0.985,-1.74,0.404,0.427,-13.115,6.193,-7.705,40,35458.647306
-999,-999,-0.066,0.006,0.982,-1.801,0.45,0.526,-10.383,6.375,-9.982,41,36378.142477
-999,-999,-0.067,0.004,0.985,-1.778,0.443,0.443,-11.658,7.65,-7.705,42,37298.155437
