temp,pressure,ax,ay,az,gx,gy,gz,mx,my,mz,nano,t
-999,-999,-0.046,0.002,0.99,-1.778,0.481,0.328,25.319,12.569,-14.185,2,212.119474
-999,-999,-0.045,0.003,0.987,-1.884,0.42,0.443,25.683,12.933,-14.185,3,424.749092
-999,-999,-0.044,0.003,0.988,-1.74,0.435,0.427,25.137,13.479,-15.761,4,637.893269
-999,-999,-0.044,0.003,0.987,-1.74,0.504,0.42,25.866,11.658,-15.061,5,851.551921
-999,-999,-0.046,0.002,0.989,-1.793,0.488,0.366,25.683,11.84,-15.586,6,1065.731519
-999,-999,-0.047,0.002,0.991,-1.686,0.435,0.366,25.137,13.115,-12.959,7,1280.425718
-999,-999,-0.044,0.004,0.989,-1.77,0.572,0.427,26.23,12.386,-14.01,8,1495.6342869999999
-999,-999,-0.045,0.003,0.987,-1.839,0.465,0.42,25.319,12.933,-14.185,9,1711.3575199999998
-999,-999,-0.047,0.002,0.988,-1.701,0.534,0.374,25.319,13.297,-14.535,10,1927.5955079999999
-999,-999,-0.042,0.003,0.985,-1.801,0.488,0.412,23.498,12.933,-14.185,11,2144.3481349999997
-999,-999,-0.046,0.001,0.99,-1.785,0.443,0.427,26.048,14.026,-14.185,12,2361.6152679999996
-999,-999,-0.046,0.003,0.991,-1.778,0.519,0.504,25.683,14.026,-14.535,13,2579.3971779999997
-999,-999,-0.045,0.003,0.991,-1.732,0.511,0.473,25.866,13.115,-15.411,14,2797.6935649999996
-999,-999,-0.046,0.002,0.992,-1.694,0.511,0.397,25.501,13.115,-14.36,15,3016.5045869999994
-999,-999,-0.047,0.003,0.988,-1.77,0.435,0.389,24.408,12.751,-14.36,16,3235.8340739999994
-999,-999,-0.047,0.003,0.988,-1.846,0.496,0.427,26.23,12.751,-12.609,17,3455.6781399999995
-999,-999,-0.047,0.001,0.986,-1.846,0.587,0.427,23.862,11.476,-13.485,18,3676.0366999999997
-999,-999,0.135,0.036,1.052,-2.922,-1.572,-16.762,24.226,13.297,-14.535,19,3896.9099679999995
-999,-999,0.577,-0.023,0.847,4.189,-62.325,20.943,27.687,-15.301,-11.558,20,4118.297941
-999,-999,0.869,-0.072,0.518,-2.586,-17.494,-0.183,28.598,-34.791,-22.591,21,4340.200664
-999,-999,0.914,-0.093,0.43,-2.106,-7.957,1.427,29.144,-39.345,-28.37,22,4562.618058
-999,-999,0.93,-0.093,0.411,-1.846,-8.202,1.228,29.691,-39.891,-28.195,23,4785.550169
-999,-999,0.981,-0.046,0.297,27.1,-93.422,-51.224,30.784,-46.085,-40.454,24,5008.996833
-999,-999,0.836,-0.062,-0.61,-24.551,-122.643,3.288,28.962,-42.442,-71.275,25,5232.958287
-999,-999,0.414,-0.171,-1.007,19.211,-12.436,9.132,31.512,-22.405,-96.844,26,5457.438766
-999,-999,0.304,-0.205,-0.99,-0.275,-3.075,3.876,33.88,-16.758,-101.222,27,5682.43394
-999,-999,0.435,0.284,-0.924,-29.579,20.325,-4.883,14.208,-26.594,-95.968,28,5907.9438629999995
-999,-999,0.518,0.412,-0.832,-5.905,-1.381,-0.679,6.922,-27.687,-90.364,29,6133.968497
-999,-999,0.481,0.415,-0.827,-2.083,1.266,0.42,7.65,-26.23,-90.714,30,6360.5076389999995
-999,-999,0.5,0.389,-0.832,8.743,4.227,4.295,8.197,-26.776,-90.189,31,6587.561516
-999,-999,0.533,0.345,-0.82,14.435,13.794,3.166,10.383,-27.869,-89.138,32,6815.129902
-999,-999,0.788,0.308,-0.576,0.641,49.789,5.615,14.572,-41.166,-75.303,33,7043.213024
-999,-999,1.077,0.179,-0.171,-10.353,9.781,17.807,19.49,-47.177,-55.865,34,7271.810850999999
-999,-999,1.035,0.115,-0.039,2.808,15.739,18.005,22.951,-47.36,-45.882,35,7500.923387999999
-999,-999,0.958,-0.003,0.343,-1.03,37.605,0.626,28.234,-40.256,-35.9,36,7730.553921999999
-999,-999,0.742,-0.018,0.659,-9.46,63.164,-7.088,26.23,-29.509,-22.066,37,7960.699206999999
-999,-999,0.201,0.034,1.049,-5.76,56.847,-17.624,27.141,-2.732,-13.835,38,8191.359272999999
-999,-999,0.002,0.016,1.036,-0.786,11.307,-6.508,27.323,9.836,-16.111,39,8422.533766999999
-999,-999,-0.019,-0.0,0.988,-1.823,0.572,0.404,26.412,12.204,-16.987,40,8654.222822999998
-999,-999,-0.027,-0.004,0.992,-1.755,0.549,0.397,28.962,10.383,-18.038,41,8886.426660999998
-999,-999,-0.029,-0.001,0.991,-1.785,0.626,0.359,28.598,10.747,-14.886,42,9119.145059999997
-999,-999,-0.028,-0.003,0.996,-1.74,0.45,0.351,28.416,10.565,-16.111,43,9352.378161999997
-999,-999,-0.029,-0.002,0.993,-1.671,0.572,0.381,28.416,10.565,-17.512,44,9586.125945999996
-999,-999,-0.028,-0.004,0.992,-1.694,0.519,0.412,27.505,10.747,-16.637,45,9820.388466999997
-999,-999,-0.027,-0.003,0.99,-1.747,0.389,0.374,28.051,10.201,-16.462,46,10055.168812999997
-999,-999,-0.029,-0.004,0.993,-1.717,0.549,0.526,29.691,11.84,-15.586,47,10290.463863999996
-999,-999,-0.027,-0.003,0.996,-1.801,0.443,0.435,27.869,10.383,-17.337,48,10526.273428999995
-999,-999,-0.028,-0.002,0.993,-1.755,0.549,0.412,27.869,12.204,-16.637,49,10762.597637999996
-999,-999,-0.028,-0.003,0.989,-1.9,0.435,0.465,28.598,12.204,-18.038,50,10999.436311999996
-999,-999,-0.026,-0.003,0.992,-1.717,0.443,0.397,28.962,10.747,-16.987,51,11236.789658999996
-999,-999,-0.028,-0.002,0.992,-1.755,0.481,0.427,29.509,12.022,-16.812,52,11474.657750999997
-999,-999,-0.028,-0.005,0.988,-1.762,0.473,0.397,26.959,9.836,-17.162,53,11713.040488999997
-999,-999,-0.027,-0.004,0.991,-1.77,0.542,0.351,27.869,10.383,-14.886,54,11951.937922999998
