temp,pressure,ax,ay,az,gx,gy,gz,nano,t
25.18,844.8835466552733,-0.05078125,-0.000732421875,0.942626953125,-3.5801526717557253,-0.732824427480916,-1.2748091603053435,2,1283.998718
25.17,844.8372197938558,-0.05224609375,-0.0068359375,0.94482421875,-3.687022900763359,-0.8625954198473282,-1.2595419847328244,3,2568.5356620000002
25.17,844.8338512724109,-0.060546875,-0.000732421875,0.9462890625,-3.7480916030534353,-0.9236641221374046,-1.3358778625954197,4,3853.617642
25.16,844.8768763325164,-0.075439453125,-0.011962890625,0.923583984375,-3.786259541984733,-0.7480916030534351,-1.2595419847328244,5,5139.244296
25.17,844.8570482617719,-0.07763671875,-0.00927734375,0.942138671875,-3.6717557251908395,-0.8244274809160306,-1.3969465648854962,6,6425.420225
25.17,844.8570482617719,-0.053466796875,-0.01416015625,0.94873046875,-3.816793893129771,-0.8854961832061069,-1.381679389312977,7,7712.145118
25.17,844.8338512724109,-0.06640625,-0.010498046875,0.950927734375,-3.786259541984733,-0.7175572519083969,-1.3053435114503817,8,8999.418998000001
25.18,844.8436977352196,-0.05908203125,-0.015380859375,0.948974609375,-3.854961832061069,-0.6717557251908397,-1.282442748091603,9,10287.241785000002
25.17,844.8471340774602,-0.074951171875,-0.013671875,0.951904296875,-3.7786259541984735,-0.8778625954198473,-1.2595419847328244,10,11575.613556000002
25.18,844.8436977352196,-0.052490234375,-0.02001953125,0.94482421875,-5.748091603053435,-1.0,-1.1068702290076335,11,12864.534263000001
25.16,844.8138315581195,-0.072265625,-0.01171875,0.938232421875,-3.8091603053435112,-0.9083969465648855,-1.2900763358778626,12,14154.003968
25.17,844.8338512724109,-0.052001953125,-0.00927734375,0.93994140625,-2.0381679389312977,-0.8854961832061069,-1.297709923664122,13,15444.022607
25.18,844.8569807024298,-0.04736328125,-0.007080078125,0.925537109375,-3.648854961832061,-0.7251908396946565,-1.3969465648854962,14,16734.593323
25.17,844.9002653590658,-0.07080078125,-0.014404296875,0.943115234375,-2.0229007633587788,-0.37404580152671757,-1.2900763358778626,15,18025.712976000003
25.17,844.8437655060578,-0.06396484375,-0.0087890625,0.93798828125,-3.8931297709923665,-0.9847328244274809,-1.2748091603053435,16,19317.381745000002
25.17,844.8270462975705,-0.069580078125,-0.002685546875,0.94189453125,-3.7022900763358777,-0.6106870229007634,-1.4961832061068703,17,20609.599464000003
25.17,844.8668950327727,-0.05322265625,-0.015869140625,0.947021484375,-3.7251908396946565,-0.6641221374045801,-1.2366412213740459,18,21902.366381000003
25.17,844.8570482617719,-0.06640625,-0.030517578125,0.931884765625,-3.9236641221374047,-0.9312977099236641,-1.366412213740458,19,23195.682545000003
