temp,pressure,ax,ay,az,gx,gy,gz,nano,t
25.18,844.8902840687955,-0.0478515625,-0.0107421875,0.9423828125,-3.7709923664122136,-0.7862595419847328,-1.4580152671755726,20,24489.547960000004
25.17,844.8536121148977,-0.03564453125,-0.013916015625,0.942138671875,-3.931297709923664,-0.8091603053435115,-1.2671755725190839,21,25783.962535000002
25.17,844.8869825294531,-0.043212890625,-0.016357421875,0.94970703125,-3.6412213740458017,-0.8320610687022901,-1.4427480916030535,22,27078.926267000003
25.16,844.8503110245699,-0.054931640625,-0.00439453125,0.946044921875,-3.633587786259542,-0.8396946564885496,-1.2900763358778626,23,28374.438955
25.17,844.8604168886502,-0.061767578125,-0.014404296875,0.94970703125,-3.885496183206107,-0.6106870229007634,-1.083969465648855,24,29670.503162
25.17,844.8637855210472,-0.05322265625,-0.0078125,0.94921875,-3.8473282442748094,-0.9236641221374046,-1.3129770992366412,25,30967.116315
25.17,844.8604168886502,-0.050537109375,-0.009033203125,0.94970703125,-3.7022900763358777,-0.9007633587786259,-1.3282442748091603,26,32264.278404
25.17,844.8770683938543,-0.05615234375,-0.00927734375,0.94140625,-1.9923664122137406,-0.9312977099236641,-1.4122137404580153,27,33561.989488
25.18,844.873632324307,-0.04541015625,-0.01953125,0.9462890625,-5.801526717557252,-0.7099236641221374,-1.1984732824427482,28,34860.249571
25.17,844.8338512724109,-0.03515625,-0.025634765625,0.94775390625,-4.083969465648855,-0.9083969465648855,-1.3511450381679388,29,36159.058732
25.19,844.8173223881145,-0.049072265625,-0.0009765625,0.96240234375,-4.213740458015267,3.763358778625954,2.480916030534351,30,37458.417217999995
25.18,844.8936527838322,-0.072021484375,-0.012939453125,0.9443359375,-4.320610687022901,-4.114503816793893,7.015267175572519,31,38758.32496599999
25.19,844.8605404782555,-0.05810546875,0.020751953125,0.951171875,-13.236641221374045,-5.450381679389313,-1.0534351145038168,32,40058.78181999999
25.19,844.867018493069,-0.10888671875,0.046630859375,0.96435546875,-7.290076335877862,4.458015267175573,28.49618320610687,33,41359.78787299999
25.2,844.8305368854161,-0.109375,0.03369140625,0.94775390625,-0.5954198473282443,3.5267175572519083,18.374045801526716,34,42661.34833999999
25.2,844.8107067404865,-0.0458984375,0.090087890625,0.928955078125,-4.1679389312977095,1.8473282442748091,19.17557251908397,35,43963.45776499999
25.21,844.8440105779067,-0.024658203125,0.08642578125,0.94970703125,-9.297709923664122,-3.3969465648854964,25.786259541984734,36,45266.11620999999
25.21,844.8736872331268,0.00927734375,0.042236328125,0.95263671875,-2.33587786259542,-8.183206106870228,-31.52671755725191,37,46569.32393099999
25.21,844.8405730273419,-0.02001953125,0.033203125,0.92236328125,0.19083969465648856,-5.442748091603053,-49.97709923664122,38,47873.08085099999
25.22,844.8938986335608,0.004638671875,0.024169921875,1.00341796875,8.290076335877863,-7.625954198473282,-73.38931297709924,39,49177.386953999994
25.23,844.8539770517759,-0.08056640625,0.052978515625,0.91845703125,-5.183206106870229,3.4885496183206106,1.3893129770992367,40,50482.24211399999
25.24,844.8307769456561,-0.109375,0.09912109375,0.87353515625,-18.389312977099237,21.96946564885496,105.61068702290076,41,51787.64614499999
25.23,844.8240404015762,0.106201171875,0.048095703125,0.94775390625,1.8702290076335877,-5.290076335877862,8.587786259541986,42,53093.599105999994
25.24,844.8872824561857,0.017333984375,0.11572265625,0.923828125,3.6793893129770994,-20.396946564885496,-129.98473282442748,43,54400.100956999995
25.25,844.8640121808326,-0.053955078125,0.08984375,0.943359375,-2.83206106870229,6.465648854961832,1.099236641221374,44,55707.155491
25.25,844.8340747920856,-0.029052734375,0.386474609375,1.031005859375,-46.3587786259542,-34.961832061068705,250.12977099236642,45,57014.759116999994
25.26,844.8608325647442,0.06298828125,0.0458984375,0.938232421875,-5.206106870229007,-1.0381679389312977,14.17557251908397,46,58322.91174699999
25.26,844.850657008792,-0.023193359375,-0.0009765625,0.86572265625,10.061068702290076,19.236641221374047,-126.90839694656489,47,59631.61332099999
25.27,844.8175389275557,0.01611328125,0.04052734375,0.937255859375,-16.244274809160306,-6.366412213740458,-19.564885496183205,48,60940.86373699999
25.27,844.8774151630695,-0.0654296875,-0.00634765625,0.945068359375,-3.83206106870229,-0.732824427480916,-1.3435114503816794,49,62250.66306399999
25.27,844.8641301581878,-0.04150390625,-0.00146484375,0.94677734375,-5.862595419847328,-0.8244274809160306,-1.2290076335877862,50,63561.011593999996
25.28,844.8341205126517,-0.02001953125,-0.0126953125,0.94677734375,-2.0381679389312977,-0.6183206106870229,-1.3129770992366412,51,64871.909285999995
25.28,844.8773442941659,-0.05810546875,-0.011962890625,0.950927734375,-4.0,-0.5343511450381679,-1.3969465648854962,52,66183.35616099999
25.28,844.8374886634359,-0.0380859375,-0.01220703125,0.947998046875,-3.9160305343511452,-0.5954198473282443,-1.282442748091603,53,67495.35221299999
25.29,844.8840809451306,-0.04248046875,-0.01416015625,0.9453125,-3.6412213740458017,-0.7862595419847328,-1.2900763358778626,54,68807.90068099998
25.28,844.8739759769451,-0.047119140625,-0.00634765625,0.9384765625,-3.8702290076335877,-0.5954198473282443,-1.381679389312977,55,70120.99836899998
25.28,844.8541420793069,-0.054931640625,-0.006103515625,0.968017578125,-3.564885496183206,-0.8854961832061069,-1.2900763358778626,56,71434.64522599998
25.28,844.8640590777795,-0.047119140625,-0.0087890625,0.96826171875,-1.984732824427481,-1.1450381679389312,-1.297709923664122,57,72748.84140699999
